ID,Name,Nexus_File,rooted,type,method,scaling,Source
posterior-81,STATE_90304000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-82,STATE_130872000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-83,STATE_103528000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-84,STATE_81536000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-85,STATE_128208000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-86,STATE_108232000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-87,STATE_147184000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-88,STATE_95928000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-89,STATE_143024000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-90,STATE_88072000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-91,STATE_81816000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-92,STATE_144464000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-93,STATE_122704000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-94,STATE_159968000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-95,STATE_135160000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-96,STATE_152072000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-97,STATE_106424000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-98,STATE_127752000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-99,STATE_95648000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-100,STATE_152952000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-101,STATE_99624000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-102,STATE_90496000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-103,STATE_144872000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-104,STATE_101624000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-105,STATE_123984000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-106,STATE_110232000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-107,STATE_106648000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-108,STATE_101440000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-109,STATE_101336000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-110,STATE_117792000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-111,STATE_99680000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-112,STATE_150408000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-113,STATE_91880000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-114,STATE_148112000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-115,STATE_80440000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-116,STATE_99208000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-117,STATE_80424000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-118,STATE_145024000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-119,STATE_104232000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-120,STATE_159632000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-121,STATE_92568000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-122,STATE_114640000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-123,STATE_146216000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-124,STATE_133240000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-125,STATE_88672000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-126,STATE_140408000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-127,STATE_134624000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-128,STATE_103848000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-129,STATE_111888000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-130,STATE_104160000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-131,STATE_83576000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-132,STATE_128880000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-133,STATE_123320000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-134,STATE_103064000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-135,STATE_131744000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-136,STATE_103312000,posterior.trees,true,sample,bayesian,years,Chang2015
